City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,portland,45.5234,-122.6762,6.01,65,40,3.6,US,1675304484
232,kamenka,51.3223,42.7678,-2.24,97,100,3.01,RU,1675304479
233,najran,17.4924,44.1277,14.36,44,33,2.5,SA,1675304408
234,kuching,1.55,110.3333,27.92,87,20,3.6,MY,1675304340
235,santa cruz,-17.8,-63.1667,22.7,94,75,3.09,BO,1675303957
236,semirom,31.4167,51.5667,-5.56,98,92,2.98,IR,1675304545
237,krk,45.0258,14.5731,6.38,91,68,0.35,HR,1675304545
238,cesvaine,56.9667,26.3167,-0.95,99,100,0.39,LV,1675304546
239,olafsvik,64.8945,-23.7142,0.01,65,100,9.79,IS,1675304546
240,gobabis,-22.45,18.9667,19.19,74,91,4.06,NA,1675304546
241,buraydah,26.326,43.975,11.25,50,0,2.41,SA,1675304503
242,gigmoto,13.7796,124.39,26.54,86,25,5.51,PH,1675304547
243,pangoa,-12.1167,-73.0,19.75,99,84,0.62,PE,1675304367
244,marawi,7.9986,124.2928,25.33,71,100,1.87,PH,1675304547
245,salta,-24.7859,-65.4117,23.65,72,40,2.06,AR,1675304332
246,kirkwall,58.9848,-2.9587,5.54,93,100,3.09,GB,1675304548
247,riyadh,24.6877,46.7219,13.08,71,66,3.62,SA,1675304433
248,pankrushikha,53.8319,80.3406,-19.86,100,44,1.97,RU,1675304548
249,vallenar,-28.5708,-70.7581,22.6,50,0,1.34,CL,1675304548
250,cayenne,4.9333,-52.3333,23.02,100,100,0.0,GF,1675304549
251,anchorage,61.2181,-149.9003,-0.76,94,100,1.54,US,1675304368
252,grand-santi,4.25,-54.3833,21.8,99,100,0.93,GF,1675304549
253,lakselv,70.0513,24.9718,-4.1,93,100,1.03,NO,1675304550
254,lavrentiya,65.5833,-171.0,-9.42,94,100,2.94,RU,1675304434
255,winnemucca,40.973,-117.7357,-0.14,64,100,1.71,US,1675304467
256,black river,18.0264,-77.8487,22.93,77,87,2.44,JM,1675304550
257,nelson bay,-32.7167,152.15,31.16,74,42,7.15,AU,1675304342
258,mogadishu,2.0371,45.3438,24.34,79,97,6.33,SO,1675304551
259,thompson,55.7435,-97.8558,-29.91,69,20,7.2,CA,1675304551
260,zunyi,27.6867,106.9072,5.99,86,100,2.6,CN,1675304551
261,soledade,-28.8183,-52.5103,22.06,65,61,3.59,BR,1675304552
262,tamworth,52.634,-1.6959,8.79,82,99,6.22,GB,1675304552
263,sao joao da barra,-21.6403,-41.0511,24.43,90,100,7.08,BR,1675304516
264,honiara,-9.4333,159.95,29.69,72,70,3.1,SB,1675303966
265,lons-le-saunier,46.75,5.75,2.68,97,100,1.41,FR,1675304553
266,doha,25.2867,51.5333,19.99,73,0,1.03,QA,1675303999
267,chuy,-33.6971,-53.4616,21.79,78,34,3.94,UY,1675304553
268,bien hoa,10.95,106.8167,27.99,64,98,2.24,VN,1675304553
269,micomeseng,2.1462,10.6164,20.08,98,60,0.55,GQ,1675304554
270,iqaluit,63.7506,-68.5145,-32.15,62,100,1.54,CA,1675304554
271,bela cruz,-3.0506,-40.1678,24.69,87,88,3.97,BR,1675304554
272,los llanos de aridane,28.6585,-17.9182,12.86,64,0,4.63,ES,1675304525
